"Name","CtrlIndex","Method","Class","Superclass","Parameters"
"openWCPayLQTDetail","0x268","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/q9, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/q9>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""auto_jump_charge_setting"":""Int"",""package"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""BucketSrc"":""Long"",""StartTime"":""Long"",""nonceStr"":""String"",""GroupId"":""Int"",""timeStamp"":""String"",""ExptCheckSum"":""String"",""paySign"":""String"",""ExptType"":""Int"",""show_open_toast"":""Int"",""pay_channel"":""String"",""signType"":""String"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String""}"
"chooseVideo","0x24","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/media/x3, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/media/x3>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""GroupId"":""Int"",""ExptCheckSum"":""String"",""sourceType"":""JSONArray"",""ExptType"":""Int"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String"",""maxDuration"":""String""}"
"shareAppMessage","0x49","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/share/x, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/h>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""rendererOptions"":""JSONObject"",""liteAppQuery"":""String"",""videoThumbPath"":""String"",""videoMD5"":""String"",""singlePage"":""JSONObject"",""signature"":""String"",""openId"":""String"",""link"":""String"",""liteAppBizData"":""String"",""skyline"":""JSONObject"",""sdkVersionBegin"":""String"",""type"":""String"",""title"":""String"",""sdkVersionEnd"":""String"",""liteAppPath"":""String"",""mode"":""String"",""path"":""String"",""playDesc"":""String"",""chatroomUsername"":""String"",""androidVersionEnd"":""String"",""cacheKey"":""String"",""imageUrl"":""String"",""messageExtraData"":""String"",""hasRelievedBuyPlugin"":""Boolean"",""liteAppId"":""String"",""videoButtonText"":""String"",""androidVersionBegin"":""String"",""handleWebviewPreload"":""String"",""thumbDataHash"":""String"",""videoPath"":""String"",""navigationBarRightButton"":""JSONObject"",""webViewUrl"":""String"",""window"":""JSONObject"",""page"":""JSONObject"",""to"":""String"",""webpageUrl"":""String""}"
"getPhoneNumber","0xd1","< Application, Lyr0/f0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lyr0/g0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"consumeWCCoin","0x44e","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/wccoin/s, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/wccoin/s>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""EndTime"":""Long"",""ExptCheckSum"":""String"",""SvrType"":""Int"",""ExptType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String"",""GroupId"":""Int""}"
"addMapMarkers","0x85","< Application, Lit0/b, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lit0/m>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""borderColor"":""String"",""callout"":""String"",""data"":""String"",""latitude"":""String"",""customCallout"":""String"",""label"":""String"",""shadowOpacity"":""Int"",""content"":""String"",""ariaLabel"":""String"",""buildingId"":""String"",""collision"":""String"",""anchor"":""String"",""mapId"":""Int"",""id"":""String"",""floorName"":""String"",""iconPath"":""String"",""markers"":""String"",""longitude"":""String""}"
"private_setPageOrientation","0x248","< Application, Lzt0/u, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lzt0/a1>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"writeCommData","0x1bd","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/md, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/md>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""data"":""String"",""packageName"":""String""}"
"updateVoIPChatMuteConfig","0x209","< Application, Lyt0/h0, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lyt0/t>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""ExptCheckSum"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""ExptType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String"",""GroupId"":""Int""}"
"NFCGetMaxTransceiveLength","0x317","< Application, Lst0/r, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lst0/r>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
