Name,Return Type,Class Name,Method Name,Super Class,Number of Args,Original Class
canvasPutImageData,"<Primordial,V>","<Application,Lqs0/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lqs0/g>"
onTapStatusBar,,"<Application,Lcom/tencent/mm/plugin/appbrand/page/f2>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/page/f2>"
onImageViewLoad,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/coverview/f>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/coverview/f>"
onXWebVideoEnded,,"<Application,Liw0/f0>",,,0,"<Application,Liw0/f0>"
onKeyboardConfirm,,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/c>",,,0,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/c>"
bindPaymentCard,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/l>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/l>"
onContactMessageCountChange,,"<Application,Lcom/tencent/mm/plugin/appbrand/ipc/i0>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/ipc/i0>"
stopBluetoothDevicesDiscovery,"<Primordial,V>","<Application,Lds0/k0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lds0/k0>"
operateSmStorage,"<Primordial,V>","<Application,Llu0/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Llu0/i>"
removeStorage,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/storage/b0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/storage/b0>"
showVirtualBottomNavigationBar,"<Primordial,V>","<Application,Lou0/h>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lou0/h>"
onCameraVideoTaken,,"<Application,Los0/l0>",,,0,"<Application,Los0/l0>"
showShareTimelineMenu,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/r0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/r0>"
canvasGetImageData,"<Primordial,V>","<Application,Lqs0/e>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lqs0/e>"
onVoIPChatMembersChanged,,"<Application,Lyt0/n0>",,,0,"<Application,Lyt0/n0>"
