Name,Return Type,Class Name,Method Name,Super Class,Number of Args,Original Class
restart,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/fb>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/fb>"
handleWCPayOverseaWalletBuffer,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/u>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/u>"
fs_renameSync,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/q1>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/q1>"
refreshSession,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bb>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bb>"
getNetworkType,"<Primordial,V>","<Application,Lmu0/v>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmu0/w>"
getSystemInfoSync,,"<Application,Lmu0/b0>",,,0,"<Application,Lmu0/b0>"
vibrateLong,"<Primordial,V>","<Application,Lmu0/q0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmu0/q0>"
getRegionData,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/picker/k>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/picker/k>"
setBLEMTU,"<Primordial,V>","<Application,Lds0/f0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lds0/f0>"
removeXWebMap,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/extendplugin/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lhw0/m>"
jumpRedPacketEnvelopePreview,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/j6>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/j6>"
onXWebLivePlayerNetStatus,,"<Application,Lbw0/j>",,,0,"<Application,Lbw0/j>"
onDownloadAppStateChangeForNative,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/k>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/k>"
operateUploadTask,"<Primordial,V>","<Application,Lpt0/f>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lpt0/f>"
onViewDidResize,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/v0>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/v0>"
getLastLocationCache,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/y>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/c0>"
onMapAuthFail,,"<Application,Lit0/w0>",,,0,"<Application,Lit0/w0>"
onXWebVideoTimeUpdate,,"<Application,Liw0/n0>",,,0,"<Application,Liw0/n0>"
onXWebLivePlayerBackgroundPlaybackChange,,"<Application,Lbw0/h>",,,0,"<Application,Lbw0/h>"
hideKeyboard,"<Primordial,V>","<Application,Lcom/tencent/luggage/game/jsapi/keyboard/f>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/f>"
createRequestTask,,"<Application,Lot0/e>",,,0,"<Application,Lot0/e>"
onLivePusherBGMStart,,"<Application,Lgt0/t0>",,,0,"<Application,Lgt0/t0>"
onXWebVideoLoadedMetaData,,"<Application,Liw0/h0>",,,0,"<Application,Liw0/h0>"
openQRCode,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/scanner/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/scanner/b>"
openRedPacketEditPage,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/channels/m>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/channels/e0>"
operateWXData,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/o0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/e4>"
onLoadSubPackageTaskStateChange,,"<Application,Lkt0/o>",,,0,"<Application,Lkt0/o>"
scrollWebviewTo,,"<Application,Lzt0/h0>",,,0,"<Application,Lzt0/h0>"
onGameRecorderStateChange,,"<Application,Lir0/a>",,,0,"<Application,Lir0/a>"
openDocument,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/f1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/f1>"
onXWebVideoProgress,,"<Application,Liw0/d>",,,0,"<Application,Liw0/d>"
removeXWebWebGLCanvas,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/extendplugin/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lss0/c>"
mkdirSync,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/a1>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/file/a1>"
enableLocationUpdateBackground,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/n>"
onKeyboardInput,,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/d>",,,0,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/d>"
editTextWithPopForm,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/b5>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/b5>"
onKeyboardComplete,,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/b>",,,0,"<Application,Lcom/tencent/luggage/game/jsapi/keyboard/b>"
getSystemInfoAsync,"<Primordial,V>","<Application,Lmu0/z>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmu0/z>"
private_onWebPageUrlExposed,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/d8>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/d8>"
onMapControlClick,,"<Application,Lit0/f>",,,0,"<Application,Lit0/f>"
onVideoLoadedMetaData,,"<Application,Lav0/g>",,,0,"<Application,Lav0/g>"
publishWeChatStateDirectly,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/sa>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/sa>"
addBLEPeripheralService,"<Primordial,V>","<Application,Les0/e>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Les0/e>"
insertNativeView,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/extendplugin/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/skyline/nativeview/f>"
closeBluetoothAdapter,"<Primordial,V>","<Application,Lds0/c>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bluetooth/u>"
getFuzzyLocation,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/w>"
cryptoOperate,"<Primordial,V>","<Application,Lvs0/p>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lvs0/y>"
openRealnameAuth,"<Primordial,V>","<Application,Lyr0/k0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lyr0/k0>"
cryptoCompute,"<Primordial,V>","<Application,Lvs0/p>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lvs0/r>"
setScreenBrightness,"<Primordial,V>","<Application,Lmu0/o0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmu0/o0>"
startGameLive,"<Primordial,V>","<Application,Lat0/m>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lat0/m>"
adDataReport,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/t1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/t1>"
canvasToTempFilePathSync,,"<Application,Lqs0/j>",,,0,"<Application,Lqs0/j>"
getBluetoothDevices,"<Primordial,V>","<Application,Lds0/l>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lds0/l>"
getWifiList,"<Primordial,V>","<Application,Ltv0/j>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Ltv0/j>"
launchApplicationDirectly,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/x6>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/m7>"
checkIsSupportSoterAuthentication,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bio/soter/e>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bio/soter/e>"
batchPreloadMiniProgram,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/d4>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/d4>"
requestAuthUserAutoFillData,"<Primordial,V>","<Application,Lyr0/u0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lyr0/u0>"
getWeAppProfileInfo,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/e0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/e0>"
onVideoResourceLoad,,"<Application,Lav0/l>",,,0,"<Application,Lav0/l>"
onXWebLivePlayerError,,"<Application,Lcw0/d>",,,0,"<Application,Lcw0/d>"
showImageOperateSheet,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/xc>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/xc>"
onLeaveLivePusherPictureInPicture,,"<Application,Lfw0/c>",,,0,"<Application,Lfw0/c>"
cancelDownloadTask,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/w>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/w>"
onAppEnterBackground,,"<Application,Lbd/x>",,,0,"<Application,Lbd/x>"
onLivePlayerNetStatus,,"<Application,Lgt0/x>",,,0,"<Application,Lgt0/x>"
joinGroup,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/n3>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/n3>"
onBackgroundFetchData,,"<Application,Lcom/tencent/mm/plugin/appbrand/backgroundfetch/n0>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/backgroundfetch/n0>"
operateWXData,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/o0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/p4>"
onMapClick,,"<Application,Lit0/y0>",,,0,"<Application,Lit0/y0>"
profile,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/profile/o>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/profile/o>"
startBeaconDiscovery,"<Primordial,V>","<Application,Ldt0/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Ldt0/g>"
getDownloadWidgetTaskInfoForNative,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/c0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/c0>"
showPickerView,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/picker/a>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/picker/b0>"
shareGameLive,"<Primordial,V>","<Application,Lat0/k>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lat0/k>"
finishLoading,"<Primordial,V>","<Application,Lrk2/a>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lrk2/a>"
operateAudio,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/b0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/b0>"
opNativeRedDot,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/e8>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/e8>"
saveVideoToPhotosAlbum,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/media/u>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/media/l5>"
setTabBarItem,"<Primordial,V>","<Application,Lzt0/j1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lzt0/j1>"
onLivePusherBGMComplete,,"<Application,Lgt0/r0>",,,0,"<Application,Lgt0/r0>"
requestScanPOSPay,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/e1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/j1>"
navigateBackApplication,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/u7>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/u7>"
addPhoneContact,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/j>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/contact/j>"
createDownloadTaskAsync,"<Primordial,V>","<Application,Lmt0/c>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lnt0/e>"
reportAction,"<Primordial,V>","<Application,Lhu0/n>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lhu0/n>"
getRandomValues,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/x5>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/x5>"
onCompassChange,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/sensor/i>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/sensor/i>"
startCustomFacialRecognitionVerifyAndUploadVideo,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bio/face/d>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bio/face/f>"
nativeWXPayCgiTunnel,"<Primordial,V>","<Application,Lmt0/m>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmt0/m>"
requestH5Transaction,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/u0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/u0>"
closeBLEPeripheralServer,"<Primordial,V>","<Application,Les0/f>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Les0/f>"
startFacialEncryptionVerifyAndUploadVideo,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bio/face/d>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bio/face/j>"
onXWebLivePusherBGMStart,,"<Application,Lew0/l>",,,0,"<Application,Lew0/l>"
onNavigateBackFromChannelsActivity,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/channels/h0>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/channels/h0>"
private_quicklyAddBrandContact,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/na>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pa>"
setStorage,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/storage/j0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/storage/j0>"
issueTrafficCard,"<Primordial,V>","<Application,Lnu0/c>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lnu0/g>"
onDumpSecuritySnapshot,,"<Application,Lku0/g>",,,0,"<Application,Lku0/g>"
setBackgroundColor,"<Primordial,V>","<Application,Lzt0/u>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lzt0/i0>"
notifyWCPayResult,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/x7>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/x7>"
insertXWebCamera,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/extendplugin/g>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lyv0/f>"
removeMagicBrushFrame,"<Primordial,V>","<Application,Lgx0/d>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lgx0/d>"
checkNetworkAPIURL,"<Primordial,V>","<Application,Lmt0/f>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmt0/f>"
faceProcessInit,"<Primordial,V>","<Application,Lzs0/j>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lzs0/j>"
onTouchMove,,"<Application,Llv0/o>",,,0,"<Application,Llv0/o>"
onSocketTaskStateChange,,"<Application,Lmt0/h>",,,0,"<Application,Lmt0/h>"
operateMediaContainer,"<Primordial,V>","<Application,Lju0/k>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lju0/o>"
onXWebVideoPreloadedMetaData,,"<Application,Liw0/k0>",,,0,"<Application,Liw0/k0>"
fetchSendingAndFailProfileFeed,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/j>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/j>"
setBackgroundAudioState,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/t1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/t1>"
fromScreenLocation,"<Primordial,V>","<Application,Lit0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lit0/u>"
createFinderAccount,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/finder/b>"
onCharacteristicReadRequest,,"<Application,Les0/v>",,,0,"<Application,Les0/v>"
createDownloadTask,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/z>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/z>"
onMusicPause,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/n0>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/audio/n0>"
returnCopyUrl,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/ib>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/ib>"
onTakeScreenshot,,"<Application,Lcom/tencent/mm/plugin/appbrand/screenshot/c0>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/screenshot/c0>"
VideoDecoder,,"<Application,Lcom/tencent/tav/decoder/VideoDecoderTrack$DecoderThread>",,,0,"<Application,Lcom/tencent/tav/decoder/VideoDecoderTrack$DecoderThread>"
showMultiPickerView,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/picker/a>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/picker/a0>"
invokeMiniProgramAPI,"<Primordial,V>","<Application,Lsv0/c>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lsv0/c>"
choosePoi,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/h>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/lbs/h>"
getAvailableAudioSources,"<Primordial,V>","<Application,Lnv0/d>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lnv0/d>"
resizeSplashAd,,"<Application,Lcom/tencent/mm/plugin/appbrand/ad/jsapi/s>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/ad/jsapi/s>"
onUpdateWXConfig,,"<Application,Lts0/a>",,,0,"<Application,Lts0/a>"
updateShareMenuShareTicket,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/v0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/v0>"
switchTab,"<Primordial,V>","<Application,Lzt0/y1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lzt0/y1>"
requestMerchantTransfer,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/a1>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/pay/a1>"
getWCCoinBalance,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/wccoin/w>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/wccoin/w>"
authorize,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/o0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/auth/t1>"
hideStatusBar,"<Primordial,V>","<Application,Lzt0/u>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lou0/b>"
setVolume,"<Primordial,V>","<Application,Lmu0/p0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lmu0/p0>"
openNewLifeEditor,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/x8>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/x8>"
setMenuStyle,"<Primordial,V>","<Application,Lzt0/k0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lzt0/k0>"
addMapControls,"<Primordial,V>","<Application,Lit0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lit0/g>"
onCameraNeedAuthCancel,,"<Application,Los0/c0>",,,0,"<Application,Los0/c0>"
checkStrangerContactListIsFriend,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/k4>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/k4>"
onDeviceOrientationChange,,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/sensor/z>",,,0,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/sensor/z>"
showShareMenu,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/p0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/share/p0>"
removeMapArc,"<Primordial,V>","<Application,Lit0/b>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lit0/o1>"
addDownloadTaskForNative,"<Primordial,V>","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/t>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/appdownload/t>"
private_setNavigationBarRightButton,"<Primordial,V>","<Application,Lzt0/x0>",u,"<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/f>",4,"<Application,Lzt0/a2>"
getSelectedTextRange,,"<Application,Let0/c>",,,0,"<Application,Let0/c>"
onXWebLivePusherNetStatus,,"<Application,Lew0/o>",,,0,"<Application,Lew0/o>"
onEnterLivePlayerPictureInPicture,,"<Application,Ldw0/b>",,,0,"<Application,Ldw0/b>"
