"Name","CtrlIndex","Method","Class","Superclass","Parameters"
"private_setPageOrientation","0x248","< Application, Lzt0/u, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lzt0/a1>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""orientation"":""String""}"
"cryptoGetGeneratedKeys","0x523","< Application, Lvs0/p, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lvs0/u>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"startCustomFacialRecognitionVerify","0x1dd","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/bio/face/d, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/bio/face/e>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""checkAliveType"":""Int"",""requestVerifyPreInfo"":""String""}"
"publishWeChatState","0x3f6","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/yb, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/yb>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""ExptCheckSum"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""ExptType"":""Int"",""BucketSrc"":""Long"",""StartTime"":""Long"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String"",""GroupId"":""Int""}"
"hideStatusBar","0x1d7","< Application, Lzt0/u, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lou0/b>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{}"
"connectWifi","0x13c","< Application, Ltv0/e, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Ltv0/e>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""password"":""String"",""BSSID"":""String"",""maunal"":""Boolean"",""acceptIncompleteWiFiInfo"":""Boolean"",""SSID"":""String"",""timeout"":""Long"",""forceNewApi"":""Boolean""}"
"removeXWebLivePusher","0x236","< Application, Lcom/tencent/mm/plugin/appbrand/extendplugin/g, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lfw0/f>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""viewId"":""Int""}"
"launchMiniProgram","0xa6","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/miniprogram_navigator/l, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/miniprogram_navigator/j>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""SystemAuthBizScene"":""Int"",""downloadURL"":""String"",""Uint32WxaLibPrivateMaxFileStorageSizeInMB"":""Long"",""TempFileSizeLimitTotal"":""Int"",""scene"":""Int"",""path"":""String"",""NewSetting"":""JSONObject"",""auto_update"":""Boolean"",""WidgetImageFlowLimitMaxSize"":""Int"",""HeaderBlackList"":""JSONArray"",""ClientStorageMinMB"":""Long"",""AppServiceType"":""Int"",""MaxWorkerConcurrent"":""Int"",""black_style"":""JSONObject"",""DownloadMaxTimeoutMS"":""Int"",""height"":""Int"",""NativeBufferSizeLimitByte"":""Int"",""UploadMaxTimeoutMS"":""Int"",""LifeSpanAfterSuspend"":""Int"",""version"":""Int"",""materialSize"":""Int"",""noRelaunchIfPathUnchanged"":""Boolean"",""navigation_bar_text_color"":""String"",""GamePerfCollectInterval"":""Int"",""CanPreFetchData"":""Int"",""icon_big"":""JSONObject"",""size"":""Int"",""preSceneNote"":""String"",""firstPageNavigationStyle"":""String"",""MaxCodeSize"":""Int"",""Key"":""String"",""BrandOfficialLabel"":""Int"",""AgeAppropriateLevel"":""Int"",""separated_plugin_list"":"""",""plugin_id"":""String"",""renderer"":""String"",""version_desc"":""String"",""independent"":""Boolean"",""MaxDownloadConcurrent"":""Int"",""CheckInterval"":""Long"",""SvrType"":""Int"",""WebsocketMaxTimeoutMS"":""Int"",""module_list"":""String"",""StarNumberLimitation"":""Int"",""SyncLaunchSceneList"":""JSONArray"",""SystemAuthFrequencyLimitFlag"":""Int"",""UsePackageConfirmSubDescScopeList"":""JSONArray"",""icon_dark"":""JSONObject"",""WidgetDrawMinInterval"":""Int"",""PullVersionWxaUsageLastInterval"":""Long"",""PeriodFetchData"":""Int"",""sessionId"":""String"",""AppMaxBackgroundLaunchBluetoothCount"":""Int"",""background_color"":""String"",""OpenWxaWaitUpdateMinMicSec"":""Long"",""template_id"":""Long"",""TaskBarSyncUsageRecordIntervalMinute"":""Int"",""HTTPSetting"":""JSONObject"",""PullVersionMaxCountPerRequest"":""Int"",""OpenWxaWaitUpdateMaxMicSecForWeakNet"":""Long"",""contexts"":""JSONArray"",""GlobalWxaFileStorageCleanMbThreshold"":""Int"",""semver"":""String"",""appId"":""String"",""MaxUploadConcurrent"":""Int"",""TaskBarItemCountLimitation"":""Int"",""inner_version"":""Int"",""PreCgiCallByteBeforeLaunch"":""String"",""StartTime"":""Long"",""ShowRelievedBuyFlag"":""Int"",""WeUseRecallInterval"":""Int"",""WidgetImageFlowLimitDuration"":""Int"",""device_orientation"":""String"",""ExptType"":""Int"",""page"":""JSONObject"",""HeaderWhiteList"":""JSONArray"",""WxaWebRenderingCacheMaxStorageSizeMB"":""Int"",""RunningFlagInfo"":""JSONObject"",""AppSharedResourceBackgroundRunningCount"":""Int"",""InvalidContactFreqBlockSeconds"":""Long"",""PrefetchDNSDomain"":""JSONArray"",""NewTaskBarRecentsItemCountLimitation"":""Int"",""AppVersion"":""Int"",""PackageManager"":""JSONObject"",""NewCategories"":""JSONArray"",""DownloadFileSizeLimit"":""Int"",""ExpendedMaxWebviewDepth"":""Int"",""without_lib_md5"":""String"",""PreDownloadUserNameBlackList"":""JSONArray"",""SingleWxaFileStorageCleanMbThreshold"":""Int"",""CanShowLoadingAdvert"":""Int"",""debug_launch_info"":""String"",""OriginalRedirectUrl"":""String"",""OpenWxaWaitUpdateMaxMicSec"":""Long"",""CanPeriodFetchData"":""Int"",""username"":""String"",""fromBusinessUsername"":""String"",""Val"":""String"",""WsRequestDomain"":""JSONArray"",""extraData"":""String"",""FlagshipSetting"":""JSONObject"",""OpendataMaxFileStorageSize"":""Long"",""UploadDomain"":""JSONArray"",""UDPDomain"":""JSONArray"",""Appid"":""String"",""Network"":""JSONObject"",""GuaranteeFlag"":""Int"",""ExptId"":""Int"",""VersionMD5"":""String"",""open_remote"":""Boolean"",""AppMaxRunningCount"":""Int"",""ForceSyncUpdateWhenLaunchLastInterval"":""Long"",""MaxBackgroundLifespan"":""Int"",""WithoutContactClearSeconds"":""Long"",""Uint32MaxTempFileStorageSizeInMB"":""Int"",""loading_image_info"":""JSONObject"",""progressbar_color"":""String"",""RunningFlag"":""Long"",""MigrateInfo"":""JSONObject"",""EndTime"":""Long"",""Uint32MinTempFileStorageSizeInMB"":""Int"",""CanShowGameLoadingAdvert"":""Int"",""TCPDomain"":""JSONArray"",""widget_list"":""String"",""AppMaxBackgroundBluetoothCount"":""Int"",""Uint32MaxLocalstorageSizeInMB"":""Int"",""instanceId"":""String"",""TLSSkipHostnameCheck"":""Int"",""MaxGlobalStorageItemSize"":""Int"",""wxapkg_md5"":""String"",""CanNotStarWxaBeforeTime"":""Long"",""HTTPHeaderReferer"":""String"",""LifeSpanBeforeSuspend"":""Int"",""DownloadDomain"":""JSONArray"",""SubContextImgDomain"":""JSONArray"",""resizable"":""Boolean"",""WechatPluginApp"":""Int"",""fake_native_loading_style_info"":""JSONObject"",""url"":""String"",""MaxGlobalStorageSize"":""Int"",""GroupId"":""Int"",""icon_gray"":""JSONObject"",""envVersion"":""String"",""RequestDomain"":""JSONArray"",""CDNBaseURL"":""String"",""width"":""Int"",""ExptSequence"":""Int"",""MaxRequestConcurrent"":""Int"",""first"":""String"",""md5"":""String"",""AgeAppropriateIcon"":""JSONObject"",""BatchPreFetchBusiFlag"":""Int"",""checkSumMd5"":""String"",""entrance_module"":""String"",""BucketSrc"":""Long"",""client_js_ext_info"":""String"",""preScene"":""Int"",""GameMaxRunningCount"":""Int"",""package_type"":""Int"",""RequestMaxTimeoutMS"":""Int"",""PerformIndexReportGapInSeconds"":""Int"",""sceneNote"":""String"",""second"":""String"",""Uint32OpendataMaxLocalstorageSizeInMB"":""Int"",""WXDataMaxRequestConcurrent"":""Int"",""MaxLocalStorageItemSize"":""Int"",""icon_green"":""JSONObject"",""custom_version"":""String"",""BluetoothBackgroundTimeoutWithoutConnectionInSeconds"":""Long"",""white_style"":""JSONObject"",""EntranceModule"":""String"",""halfPage"":""JSONObject"",""WebsocketSkipPortCheck"":""Int"",""MaxWebsocketConnect"":""Int"",""prefix_path"":""String"",""materialName"":""String"",""NativeBufferQueueLimitByte"":""Int"",""icon_light"":""JSONObject"",""TradeGuaranteeMenuSetting"":""String"",""HTTPHeaderMode"":""String"",""WholeClientStoragePercent"":""Int"",""CanKeepAliveByAudioPlay"":""Int"",""NextTryOpenWxaDisMicSec"":""Long"",""SyncVersionSetting"":""JSONObject"",""VersionState"":""Int"",""code_size"":""Int"",""extoptions"":""String"",""dev_key"":""Long"",""brotli"":""Boolean"",""WhiteScreenDetectThresholdFloatNew"":""Double"",""OriginalFlag"":""Int"",""AppOpenForbiddenUrl"":""String"",""PeriodFetchDataDay"":""Int"",""isTransparentBackgroundSupport"":""String"",""UseModule"":""Boolean"",""alias"":""JSONArray"",""GamePerfCollectSamplePercentage"":""Double"",""GameDownloadFileSizeLimit"":""Int"",""LoadingWeakNetDelayDurationInSecondsAndroid"":""Int"",""ShowFlagshipFlag"":""Int"",""Uint32MaxFileStorageSizeInMB"":""Int"",""LaunchFallbackMinVersion"":""Int"",""ExptCheckSum"":""String"",""PullVersionMaxCount"":""Int"",""parallelDownloadOnLaunchStage"":""Boolean"",""ScanCodeEnableZZM"":""Int"",""PullVersionInterval"":""Long"",""target_appid"":""String"",""CDNPreConnectURL"":""String"",""RelievedBuySetting"":""JSONObject""}"
"handleBrandPersonalCenterAction","0x4eb","< Application, Lcom/tencent/mm/plugin/appbrand/jsapi/biz/g, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lcom/tencent/mm/plugin/appbrand/jsapi/biz/g>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""Val"":""String"",""EndTime"":""Long"",""SvrType"":""Int"",""StartTime"":""Long"",""BucketSrc"":""Long"",""c2bRedDotCount"":""Int"",""sessionId"":""Int"",""GroupId"":""Int"",""actionType"":""Int"",""ExptCheckSum"":""String"",""ExptType"":""Int"",""ExptId"":""Int"",""ExptSequence"":""Int"",""Key"":""String""}"
"setBackgroundColor","0x1c5","< Application, Lzt0/u, u(Lcom/tencent/mm/plugin/appbrand/jsapi/l;Lorg/json/JSONObject;I)V >","<Application,Lzt0/i0>","Lcom/tencent/mm/plugin/appbrand/jsapi/f","{""backgroundColor"":""String""}"
